"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","创建订单,/open/api/create_order","下单参数校验-price-价格","0","0","5","0","0"
"","清算验证,/open/api/create_order","限价卖单挂单","0","0","1","0","0"
"","清算验证,/open/api/create_order","市价卖单自动撤单","0","0","1","0","0"
"","清算验证,/open/api/create_order","限价买单撤单","0","0","1","0","0"
"","创建订单,/open/api/create_order","下单参数校验-side-买卖方向","0","0","5","0","0"
"","创建订单,/open/api/create_order","下单参数校验-price-type 下单类型,价格组合校验","2","0","0","0","0"
"","清算验证,/open/api/create_order","限价卖单部分成交","0","0","1","0","0"
"","清算验证,/open/api/create_order","限价买单部分成交撤单","0","0","1","0","0"
"","查询账户资产,/open/api/user/account","用户资产查询成功","0","0","1","0","0"
"","清算验证,/open/api/create_order","限价买单部分成交","0","0","1","0","0"
"","创建订单,/open/api/create_order","下单参数校验-volume-购买数量","0","0","5","0","0"
"","创建订单,/open/api/create_order","下单参数校验-type-挂单类型","0","0","5","0","0"
"","清算验证,/open/api/create_order","市价卖单完全成交","0","0","1","0","0"
"","清算验证,/open/api/create_order","市价买单自动撤单","0","0","1","0","0"
"","清算验证,/open/api/create_order","限价买单完全成交","0","0","1","0","0"
"","查询账户资产,/open/api/user/account","用户资产查询失败","0","0","1","0","0"
"","清算验证,/open/api/create_order","市价买单部分成交自动撤单","0","0","1","0","0"
"","清算验证,/open/api/create_order","限价卖单撤单","0","0","1","0","0"
"","清算验证,/open/api/create_order","市价卖单部分成交自动撤单","0","0","1","0","0"
"","清算验证,/open/api/create_order","限价卖单部分成交撤单","0","0","1","0","0"
"","清算验证,/open/api/create_order","限价买单挂单","0","0","1","0","0"
"","清算验证,/open/api/create_order","市价买单完全成交","0","0","1","0","0"
"","清算验证,/open/api/create_order","限价卖单完全成交","0","0","1","0","0"
